Symbol,Company_Name,Sector,Industry
VCVCU,10X Capital Venture Acquisition Corp,Finance,Business Services
TXG,"10x Genomics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
YI,"111, Inc.",Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
ATNF,180 Life Sciences Corp.,Health Care,Major Pharmaceuticals
ATNFW,180 Life Sciences Corp.,Health Care,Major Pharmaceuticals
FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",Finance,Banks
ONEM,"1Life Healthcare, Inc.",Health Care,Medical/Nursing Services
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
QFIN,"360 DigiTech, Inc.",Finance,Finance: Consumer Services
KRKR,36Kr Holdings Inc.,Miscellaneous,Business Services
FVAM,5:01 Acquisition Corp.,Finance,Business Services
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
ETNB,"89bio, Inc.",Health Care,Major Pharmaceuticals
EGHT,8x8 Inc,Technology,EDP Services
NMTR,"9 Meters Biopharma, Inc.",Health Care,Major Pharmaceuticals
JFU,9F Inc.,Finance,Finance: Consumer Services
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ABCM,Abcam plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ABST,Absolute Software Corporation,Technology,Computer Software: Prepackaged Software
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ASO,"Academy Sports and Outdoors, Inc.",Consumer Services,Other Specialty Stores
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,Consumer Durables,Automotive Aftermarket
ACAMU,Acamar Partners Acquisition Corp.,Consumer Durables,Automotive Aftermarket
ACAMW,Acamar Partners Acquisition Corp.,Consumer Durables,Automotive Aftermarket
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,n/a
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACCD,"Accolade, Inc.",n/a,n/a
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACEV,ACE Convergence Acquisition Corp.,Finance,Business Services
ACEVU,ACE Convergence Acquisition Corp.,Finance,Business Services
ACEVW,ACE Convergence Acquisition Corp.,Finance,Business Services
ACLL,"ACell, Inc.",n/a,n/a
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACACU,Acies Acquisition Corp.,Finance,Business Services
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,Finance,Major Banks
STWO,ACON S2 Acquisition Corp.,Finance,Business Services
STWOU,ACON S2 Acquisition Corp.,Finance,Business Services
STWOW,ACON S2 Acquisition Corp.,Finance,Business Services
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
AFIB,"Acutus Medical, Inc.",Health Care,Medical/Dental Instruments
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
AHCO,AdaptHealth Corp. ,Health Care,Medical/Nursing Services
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ACET,"Adicet Bio, Inc.",Health Care,Major Pharmaceuticals
ADTX,"ADiTx Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ADV,Advantage Solutions Inc. ,Miscellaneous,Business Services
ADVWW,Advantage Solutions Inc. ,Miscellaneous,Business Services
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,n/a,n/a
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,n/a,n/a
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,n/a,n/a
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,n/a,n/a
AEGN,Aegion Corp,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
ARBGU,Aequi Acquisition Corp.,Finance,Business Services
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AIH,Aesthetic Medical International Holdings Group Ltd.,Health Care,Medical Specialities
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",Health Care,Medical/Dental Instruments
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AFYA,Afya Limited,Consumer Services,Other Consumer Services
AGBA,AGBA Acquisition Limited,Finance,Business Services
AGBAR,AGBA Acquisition Limited,Finance,Business Services
AGBAU,AGBA Acquisition Limited,Finance,Business Services
AGBAW,AGBA Acquisition Limited,Finance,Business Services
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,Technology,EDP Services
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
API,"Agora, Inc.",Technology,Computer Software: Prepackaged Software
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
AIKI,AIkido Pharma Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
KERN,Akerna Corp.,Technology,EDP Services
KERNW,Akerna Corp.,Technology,EDP Services
AKRO,"Akero Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKUS,"Akouos, Inc.",Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
AKU,Akumin Inc.,Health Care,Medical Specialities
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
ALAC,Alberton Acquisition Corporation,Finance,Business Services
ALACR,Alberton Acquisition Corporation,Finance,Business Services
ALACU,Alberton Acquisition Corporation,Finance,Business Services
ALACW,Alberton Acquisition Corporation,Finance,Business Services
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALEC,"Alector, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALRS,Alerus Financial Corporation,Finance,Major Banks
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALIT,Alight Inc.,n/a,n/a
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALGS,"Aligos Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,Technology,"Computer Software: Programming, Data Processing"
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
LNT,Alliant Energy Corporation,Public Utilities,Power Generation
AESE,"Allied Esports Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALLO,"Allogene Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,Technology,Computer Communications Equipment
ALVR,"AlloVir, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
AHAC,Alpha Healthcare Acquisition Corp.,Finance,Business Services
AHACU,Alpha Healthcare Acquisition Corp.,Finance,Business Services
AHACW,Alpha Healthcare Acquisition Corp.,Finance,Business Services
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals
ALTA,Altabancorp,Finance,Major Banks
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
ATHE,Alterity Therapeutics Limited,Health Care,Major Pharmaceuticals
AGCUU,Altimeter Growth Corp.,Finance,Business Services
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
ALTU,Altitude Acquisition Corp.,n/a,n/a
ALTUU,Altitude Acquisition Corp.,n/a,n/a
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
ALTM,Altus Midstream Company,Public Utilities,Natural Gas Distribution
ALXO,ALX Oncology Holdings Inc.,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMCX,AMC Networks Inc.,Consumer Services,Television Services
AMCI,AMCI Acquisition Corp.,Miscellaneous,Industrial Machinery/Components
AMCIU,AMCI Acquisition Corp.,Miscellaneous,Industrial Machinery/Components
AMCIW,AMCI Acquisition Corp.,Miscellaneous,Industrial Machinery/Components
DOX,Amdocs Limited,Technology,EDP Services
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AMTB,Amerant Bancorp Inc.,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,Finance,Major Banks
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AEPPL,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AEPPZ,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,"American National Group, Inc.",Finance,Life Insurance
AOUT,"American Outdoor Brands, Inc.",Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
AREC,American Resources Corporation,Consumer Services,Other Consumer Services
AMRB,American River Bankshares,Finance,Major Banks
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AVCT,"American Virtual Cloud Technologies, Inc. ",Technology,EDP Services
AVCTW,"American Virtual Cloud Technologies, Inc. ",Technology,EDP Services
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
